sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.0,0.8,0.05106382978723404,0.8,0.55,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.55,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.55,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.55,1.0,0.07,0.84,No counterfactual,3,47
0.16,0.8,0.05106382978723404,0.8,0.55,1.0,0.07,0.84,No counterfactual,3,47
0.2,0.8,0.05106382978723404,0.8,0.55,1.0,0.07,0.84,No counterfactual,3,47
0.24,0.76,0.04851063829787234,0.8,0.55,1.0,0.07,0.84,No counterfactual,3,47
0.28,0.72,0.04595744680851063,0.8,0.55,1.0,0.07,0.84,No counterfactual,3,47
0.32,0.68,0.04340425531914894,0.8,0.55,1.0,0.07,0.84,No counterfactual,3,47
0.36,0.64,0.04085106382978723,0.8,0.55,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.28,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.28,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.28,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.28,1.0,0.07,0.84,No counterfactual,3,47
0.16,0.8,0.05106382978723404,0.8,0.28,1.0,0.07,0.84,No counterfactual,3,47
0.2,0.8,0.05106382978723404,0.8,0.28,1.0,0.07,0.84,No counterfactual,3,47
0.24,0.76,0.04851063829787234,0.8,0.28,1.0,0.07,0.84,No counterfactual,3,47
0.28,0.72,0.04595744680851063,0.8,0.28,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.45,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.45,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.45,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.45,1.0,0.07,0.84,No counterfactual,3,47
0.16,0.8,0.05106382978723404,0.8,0.45,1.0,0.07,0.84,No counterfactual,3,47
0.2,0.8,0.05106382978723404,0.8,0.45,1.0,0.07,0.84,No counterfactual,3,47
0.24,0.76,0.04851063829787234,0.8,0.45,1.0,0.07,0.84,No counterfactual,3,47
0.28,0.72,0.04595744680851063,0.8,0.45,1.0,0.07,0.84,No counterfactual,3,47
0.32,0.68,0.04340425531914894,0.8,0.45,1.0,0.07,0.84,No counterfactual,3,47
0.36,0.64,0.04085106382978723,0.8,0.45,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.38,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.38,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.38,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.38,1.0,0.07,0.84,No counterfactual,3,47
0.16,0.8,0.05106382978723404,0.8,0.38,1.0,0.07,0.84,No counterfactual,3,47
0.2,0.8,0.05106382978723404,0.8,0.38,1.0,0.07,0.84,No counterfactual,3,47
0.24,0.76,0.04851063829787234,0.8,0.38,1.0,0.07,0.84,No counterfactual,3,47
0.28,0.72,0.04595744680851063,0.8,0.38,1.0,0.07,0.84,No counterfactual,3,47
0.32,0.68,0.04340425531914894,0.8,0.38,1.0,0.07,0.84,No counterfactual,3,47
0.36,0.64,0.04085106382978723,0.8,0.38,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.32,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.32,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.32,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.32,1.0,0.07,0.84,No counterfactual,3,47
0.16,0.8,0.05106382978723404,0.8,0.32,1.0,0.07,0.84,No counterfactual,3,47
0.2,0.8,0.05106382978723404,0.8,0.32,1.0,0.07,0.84,No counterfactual,3,47
0.24,0.76,0.04851063829787234,0.8,0.32,1.0,0.07,0.84,No counterfactual,3,47
0.28,0.72,0.04595744680851063,0.8,0.32,1.0,0.07,0.84,No counterfactual,3,47
0.32,0.68,0.04340425531914894,0.8,0.32,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.29,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.29,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.29,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.29,1.0,0.07,0.84,No counterfactual,3,47
0.16,0.8,0.05106382978723404,0.8,0.29,1.0,0.07,0.84,No counterfactual,3,47
0.2,0.8,0.05106382978723404,0.8,0.29,1.0,0.07,0.84,No counterfactual,3,47
0.24,0.76,0.04851063829787234,0.8,0.29,1.0,0.07,0.84,No counterfactual,3,47
0.28,0.72,0.04595744680851063,0.8,0.29,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.23,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.23,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.23,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.23,1.0,0.07,0.84,No counterfactual,3,47
0.16,0.8,0.05106382978723404,0.8,0.23,1.0,0.07,0.84,No counterfactual,3,47
0.2,0.8,0.05106382978723404,0.8,0.23,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.44,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.44,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.44,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.44,1.0,0.07,0.84,No counterfactual,3,47
0.16,0.8,0.05106382978723404,0.8,0.44,1.0,0.07,0.84,No counterfactual,3,47
0.2,0.8,0.05106382978723404,0.8,0.44,1.0,0.07,0.84,No counterfactual,3,47
0.24,0.76,0.04851063829787234,0.8,0.44,1.0,0.07,0.84,No counterfactual,3,47
0.28,0.72,0.04595744680851063,0.8,0.44,1.0,0.07,0.84,No counterfactual,3,47
0.32,0.68,0.04340425531914894,0.8,0.44,1.0,0.07,0.84,No counterfactual,3,47
0.36,0.64,0.04085106382978723,0.8,0.44,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.15,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.15,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.15,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.15,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.51,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.51,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.51,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.51,1.0,0.07,0.84,No counterfactual,3,47
0.16,0.8,0.05106382978723404,0.8,0.51,1.0,0.07,0.84,No counterfactual,3,47
0.2,0.8,0.05106382978723404,0.8,0.51,1.0,0.07,0.84,No counterfactual,3,47
0.24,0.76,0.04851063829787234,0.8,0.51,1.0,0.07,0.84,No counterfactual,3,47
0.28,0.72,0.04595744680851063,0.8,0.51,1.0,0.07,0.84,No counterfactual,3,47
0.32,0.68,0.04340425531914894,0.8,0.51,1.0,0.07,0.84,No counterfactual,3,47
0.36,0.64,0.04085106382978723,0.8,0.51,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.49,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.49,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.49,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.49,1.0,0.07,0.84,No counterfactual,3,47
0.16,0.8,0.05106382978723404,0.8,0.49,1.0,0.07,0.84,No counterfactual,3,47
0.2,0.8,0.05106382978723404,0.8,0.49,1.0,0.07,0.84,No counterfactual,3,47
0.24,0.76,0.04851063829787234,0.8,0.49,1.0,0.07,0.84,No counterfactual,3,47
0.28,0.72,0.04595744680851063,0.8,0.49,1.0,0.07,0.84,No counterfactual,3,47
0.32,0.68,0.04340425531914894,0.8,0.49,1.0,0.07,0.84,No counterfactual,3,47
0.36,0.64,0.04085106382978723,0.8,0.49,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.64,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.64,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.64,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.64,1.0,0.07,0.84,No counterfactual,3,47
0.16,0.8,0.05106382978723404,0.8,0.64,1.0,0.07,0.84,No counterfactual,3,47
0.2,0.8,0.05106382978723404,0.8,0.64,1.0,0.07,0.84,No counterfactual,3,47
0.24,0.76,0.04851063829787234,0.8,0.64,1.0,0.07,0.84,No counterfactual,3,47
0.28,0.72,0.04595744680851063,0.8,0.64,1.0,0.07,0.84,No counterfactual,3,47
0.32,0.68,0.04340425531914894,0.8,0.64,1.0,0.07,0.84,No counterfactual,3,47
0.36,0.64,0.04085106382978723,0.8,0.64,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.12,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.12,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.12,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.12,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.65,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.65,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.65,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.65,1.0,0.07,0.84,No counterfactual,3,47
0.16,0.8,0.05106382978723404,0.8,0.65,1.0,0.07,0.84,No counterfactual,3,47
0.2,0.8,0.05106382978723404,0.8,0.65,1.0,0.07,0.84,No counterfactual,3,47
0.24,0.76,0.04851063829787234,0.8,0.65,1.0,0.07,0.84,No counterfactual,3,47
0.28,0.72,0.04595744680851063,0.8,0.65,1.0,0.07,0.84,No counterfactual,3,47
0.32,0.68,0.04340425531914894,0.8,0.65,1.0,0.07,0.84,No counterfactual,3,47
0.36,0.64,0.04085106382978723,0.8,0.65,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.03,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.11,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.11,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.11,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.48,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.48,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.48,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.48,1.0,0.07,0.84,No counterfactual,3,47
0.16,0.8,0.05106382978723404,0.8,0.48,1.0,0.07,0.84,No counterfactual,3,47
0.2,0.8,0.05106382978723404,0.8,0.48,1.0,0.07,0.84,No counterfactual,3,47
0.24,0.76,0.04851063829787234,0.8,0.48,1.0,0.07,0.84,No counterfactual,3,47
0.28,0.72,0.04595744680851063,0.8,0.48,1.0,0.07,0.84,No counterfactual,3,47
0.32,0.68,0.04340425531914894,0.8,0.48,1.0,0.07,0.84,No counterfactual,3,47
0.36,0.64,0.04085106382978723,0.8,0.48,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.4,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.4,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.4,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.4,1.0,0.07,0.84,No counterfactual,3,47
0.16,0.8,0.05106382978723404,0.8,0.4,1.0,0.07,0.84,No counterfactual,3,47
0.2,0.8,0.05106382978723404,0.8,0.4,1.0,0.07,0.84,No counterfactual,3,47
0.24,0.76,0.04851063829787234,0.8,0.4,1.0,0.07,0.84,No counterfactual,3,47
0.28,0.72,0.04595744680851063,0.8,0.4,1.0,0.07,0.84,No counterfactual,3,47
0.32,0.68,0.04340425531914894,0.8,0.4,1.0,0.07,0.84,No counterfactual,3,47
0.36,0.64,0.04085106382978723,0.8,0.4,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.37,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.37,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.37,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.37,1.0,0.07,0.84,No counterfactual,3,47
0.16,0.8,0.05106382978723404,0.8,0.37,1.0,0.07,0.84,No counterfactual,3,47
0.2,0.8,0.05106382978723404,0.8,0.37,1.0,0.07,0.84,No counterfactual,3,47
0.24,0.76,0.04851063829787234,0.8,0.37,1.0,0.07,0.84,No counterfactual,3,47
0.28,0.72,0.04595744680851063,0.8,0.37,1.0,0.07,0.84,No counterfactual,3,47
0.32,0.68,0.04340425531914894,0.8,0.37,1.0,0.07,0.84,No counterfactual,3,47
0.36,0.64,0.04085106382978723,0.8,0.37,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.43,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.43,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.43,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.43,1.0,0.07,0.84,No counterfactual,3,47
0.16,0.8,0.05106382978723404,0.8,0.43,1.0,0.07,0.84,No counterfactual,3,47
0.2,0.8,0.05106382978723404,0.8,0.43,1.0,0.07,0.84,No counterfactual,3,47
0.24,0.76,0.04851063829787234,0.8,0.43,1.0,0.07,0.84,No counterfactual,3,47
0.28,0.72,0.04595744680851063,0.8,0.43,1.0,0.07,0.84,No counterfactual,3,47
0.32,0.68,0.04340425531914894,0.8,0.43,1.0,0.07,0.84,No counterfactual,3,47
0.36,0.64,0.04085106382978723,0.8,0.43,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.31,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.31,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.31,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.31,1.0,0.07,0.84,No counterfactual,3,47
0.16,0.8,0.05106382978723404,0.8,0.31,1.0,0.07,0.84,No counterfactual,3,47
0.2,0.8,0.05106382978723404,0.8,0.31,1.0,0.07,0.84,No counterfactual,3,47
0.24,0.76,0.04851063829787234,0.8,0.31,1.0,0.07,0.84,No counterfactual,3,47
0.28,0.72,0.04595744680851063,0.8,0.31,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.47,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.47,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.47,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.47,1.0,0.07,0.84,No counterfactual,3,47
0.16,0.8,0.05106382978723404,0.8,0.47,1.0,0.07,0.84,No counterfactual,3,47
0.2,0.8,0.05106382978723404,0.8,0.47,1.0,0.07,0.84,No counterfactual,3,47
0.24,0.76,0.04851063829787234,0.8,0.47,1.0,0.07,0.84,No counterfactual,3,47
0.28,0.72,0.04595744680851063,0.8,0.47,1.0,0.07,0.84,No counterfactual,3,47
0.32,0.68,0.04340425531914894,0.8,0.47,1.0,0.07,0.84,No counterfactual,3,47
0.36,0.64,0.04085106382978723,0.8,0.47,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.07,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.07,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.09,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.09,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.09,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.41,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.41,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.41,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.41,1.0,0.07,0.84,No counterfactual,3,47
0.16,0.8,0.05106382978723404,0.8,0.41,1.0,0.07,0.84,No counterfactual,3,47
0.2,0.8,0.05106382978723404,0.8,0.41,1.0,0.07,0.84,No counterfactual,3,47
0.24,0.76,0.04851063829787234,0.8,0.41,1.0,0.07,0.84,No counterfactual,3,47
0.28,0.72,0.04595744680851063,0.8,0.41,1.0,0.07,0.84,No counterfactual,3,47
0.32,0.68,0.04340425531914894,0.8,0.41,1.0,0.07,0.84,No counterfactual,3,47
0.36,0.64,0.04085106382978723,0.8,0.41,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.04,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.04,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.19,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.19,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.19,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.19,1.0,0.07,0.84,No counterfactual,3,47
0.16,0.8,0.05106382978723404,0.8,0.19,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.14,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.14,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.14,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.14,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.59,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.59,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.59,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.59,1.0,0.07,0.84,No counterfactual,3,47
0.16,0.8,0.05106382978723404,0.8,0.59,1.0,0.07,0.84,No counterfactual,3,47
0.2,0.8,0.05106382978723404,0.8,0.59,1.0,0.07,0.84,No counterfactual,3,47
0.24,0.76,0.04851063829787234,0.8,0.59,1.0,0.07,0.84,No counterfactual,3,47
0.28,0.72,0.04595744680851063,0.8,0.59,1.0,0.07,0.84,No counterfactual,3,47
0.32,0.68,0.04340425531914894,0.8,0.59,1.0,0.07,0.84,No counterfactual,3,47
0.36,0.64,0.04085106382978723,0.8,0.59,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.18,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.18,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.18,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.18,1.0,0.07,0.84,No counterfactual,3,47
0.16,0.8,0.05106382978723404,0.8,0.18,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.13,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.13,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.13,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.13,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.1,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.1,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.1,1.0,0.07,0.84,No counterfactual,3,47
0.0,0.8,0.05106382978723404,0.8,0.61,1.0,0.07,0.84,No counterfactual,3,47
0.04,0.8,0.05106382978723404,0.8,0.61,1.0,0.07,0.84,No counterfactual,3,47
0.08,0.8,0.05106382978723404,0.8,0.61,1.0,0.07,0.84,No counterfactual,3,47
0.12,0.8,0.05106382978723404,0.8,0.61,1.0,0.07,0.84,No counterfactual,3,47
0.16,0.8,0.05106382978723404,0.8,0.61,1.0,0.07,0.84,No counterfactual,3,47
